Latitude,Longitude,Cluster
48.94323,-72.223758,22
45.64984,-74.942458,72
44.4252891,-78.27213798,99
47.56483455,-52.7141009,13
45.0643499,-64.1806902,48
47.4219673,-70.376206,57
48.0942605,-77.7657348,-1
45.57448904,-73.65946108,116
46.80735,-71.207171,59
49.276084,-123.142663,123
43.49668051,-80.52668941,113
50.4576881,-104.6060039,62
43.9141932,-78.6884533,121
50.0443847,-105.2317271,61
52.744197,-109.0268203,60
49.2078625,-108.3881429,-1
51.0983373,-121.5686768,-1
45.51778583,-75.39186401,95
44.2227523,-76.4913947,77
47.3952717,-79.6857716,19
43.64034796,-79.45996349,142
49.2064788,-123.1423354,-1
45.016231,-72.093781,-1
45.36411269,-63.27940583,36
54.38930315,-110.198861,20
